OBJECTID,ntd_id,stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,stop_code,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,agency_id,download_date,x,y
385638,90154,11710,Melrose / Martel,,34.083738,-118.351435,,,11710,,,,Null,,,,09-09-2024,-118.35143500042,34.0837379998653
104602,90042,244,El Segundo Bl & Van Ness Ave,,33.916581,-118.318186,,,350,,,,2,,,,09-09-2024,-118.318185999966,33.9165810001437
388721,90154,16889,Yucca / Ivar,,34.103979,-118.32798,,,16889,,,,Null,,,,09-09-2024,-118.32798000003,34.1039790002087
375061,90147,303299,Vermont & Melbourne Ave.,,34.10369,-118.291809,,,2612,0,,,0,,,,09-09-2024,-118.291809000043,34.103690000181
383966,90154,8617,1st / Central,,34.049177,-118.239383,,,8617,,,,Null,,,,09-09-2024,-118.239383000262,34.0491769999925
383717,90154,8164,Washington / Bonsallo,,34.03582,-118.275497,,,8164,,,,Null,,,,09-09-2024,-118.275497000347,34.0358200001694
388294,90154,16194,Pico / Crenshaw,,34.047698,-118.326479,,,16194,,,,Null,,,,09-09-2024,-118.326478999632,34.0476980003166
388045,90154,15777,8th / Bixel,,34.049681,-118.265042,,,15777,,,,Null,,,,09-09-2024,-118.265042000134,34.049680999887
381049,90154,4123,Olympic / Century Park East,,34.05852,-118.411658,,,4123,,,,Null,,,,09-09-2024,-118.411657999575,34.0585200001788
381808,90154,5210,La Cienega / Airdrome,,34.046936,-118.376026,,,5210,,,,Null,,,,09-09-2024,-118.376026000437,34.0469359998997
385140,90154,10753,Glendale / Scott,,34.08163,-118.260215,,,10753,,,,Null,,,,09-09-2024,-118.260214999973,34.0816299997249
384215,90154,9026,Beverly / Windsor,,34.076101,-118.319761,,,9026,,,,Null,,,,09-09-2024,-118.319760999984,34.0761010000194
383219,90154,7364,6th / Virgil,,34.06362,-118.287207,,,7364,,,,Null,,,,09-09-2024,-118.287207000013,34.063620000372
375310,90147,305729,Daly & Broadway,,34.073815,-118.21557,,,2119,0,,,0,,,,09-09-2024,-118.215569999671,34.0738150001482
387547,90154,15041,Valley / San Pablo,,34.065666,-118.202483,,,15041,,,,Null,,,,09-09-2024,-118.202483000354,34.0656660002624
170957,90010,386,Alameda St at Los Angeles St,,34.056653,-118.237233,,,762173,,,,2,,,,09-09-2024,-118.237233000309,34.0566530000254
381547,90154,4857,Central / 48th,,33.999686,-118.256315,,,4857,,,,Null,,,,09-09-2024,-118.256315000099,33.9996860001189
374812,90147,1804958,Vernon & Broadway (CCW),,34.003844,-118.278068,,,1590,0,,,0,,,,09-09-2024,-118.27806800025,34.0038440000251
170945,90010,373,Harbor Transitway at Slauson Av,,33.989024,-118.280463,,,652015,,,,2,,,,09-09-2024,-118.280463000425,33.9890239999771
632026,90284,4148566,E 57th St / Atlantic,,33.989181,-118.185617,,https://www.cityofmaywood.com/200/Transportation-Services,,0,,America/Los_Angeles,0,,,,09-09-2024,-118.185616999741,33.9891810002722
387298,90154,14633,Sierra / Flora,,34.080668,-118.201786,,,14633,,,,Null,,,,09-09-2024,-118.20178600022,34.0806680000626
384464,90154,9514,Daly / Pasadena,,34.076128,-118.215869,,,9514,,,,Null,,,,09-09-2024,-118.21586900032,34.0761280000564
376721,90147,486072,Washington Blvd & National Blvd (Northbound),,34.028006,-118.386773,,,9043,0,,,0,,,,09-09-2024,-118.386772999831,34.0280060000723
381298,90154,4526,Obama / La Cienega,,34.021827,-118.372102,,,4526,,,,Null,,,,09-09-2024,-118.372102000275,34.0218269997311
385377,90154,11231,Martin Luther King Jr / Degnan,,34.011048,-118.331144,,,11231,,,,Null,,,,09-09-2024,-118.33114400031,34.0110480000246
385389,90154,11248,Martin Luther King Jr / Western,,34.011004,-118.309415,,,11248,,,,Null,,,,09-09-2024,-118.309415000448,34.0110039999657
379638,90154,1834,Exposition / Budlong,,34.018058,-118.296007,,,1834,,,,Null,,,,09-09-2024,-118.296006999843,34.0180579996403
388543,90154,16596,Whittier / Euclid,,34.030656,-118.207055,,,16596,,,,Null,,,,09-09-2024,-118.207055000247,34.0306559999929
380136,90154,2610,Imperial / Atlantic,,33.930861,-118.183746,,,2610,,,,Null,,,,09-09-2024,-118.183746000345,33.9308610000647
103440,90039,591,CULVER CITY TRANSIT CENTER,,33.98817,-118.394765,,,620,,,,0,,,,09-09-2024,-118.394765000096,33.9881700003174
376733,90147,486093,Culver Blvd & Centinela Ave (Southbound),,33.991116,-118.420848,,,9096,0,,,0,,,,09-09-2024,-118.420848000291,33.991116000288
103191,90039,78,WASHINGTON BLVD/INGLEWOOD BLVD,,33.99772,-118.422726,,,163,,,,0,,,,09-09-2024,-118.422726000257,33.9977199996402
168538,90008,1437,WADE NB & PACIFIC FS,WADE ST & PACIFIC AVE,34.000607,-118.437364,,,2891,,,,0,,,,09-09-2024,-118.437364000201,34.0006070000351
168289,90008,870,OCEAN PARK EB & 28TH FS,2800 OCEAN PARK BLVD & 28TH ST,34.018855,-118.455625,,,1277,,,,0,,,,09-09-2024,-118.455625000009,34.01885499971
386528,90154,13328,Central / 83rd,,33.963944,-118.256539,,,13328,,,,Null,,,,09-09-2024,-118.256539000405,33.9639440002736
383362,90154,7639,Florence / Budlong,,33.974484,-118.29646,,,7639,,,,Null,,,,09-09-2024,-118.296459999579,33.9744839998904
388151,90154,15976,Crenshaw / Florence,,33.974809,-118.331007,,,15976,,,,Null,,,,09-09-2024,-118.331007000042,33.9748090003186
390985,90154,80702S,Airport Metro Connector,,33.94986696,-118.3786793,,,80702S,1,,,Null,,,,09-09-2024,-118.378679300393,33.9498669596801
